单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900011031841,双孢菇(份),食用菌,09:37:31.670,1.0,8.9,销售,否,2022-02-08,5.21
102900011031841,双孢菇(份),食用菌,11:33:17.611,1.0,8.9,销售,否,2022-02-08,5.21
102900011031841,双孢菇(份),食用菌,13:39:35.780,1.0,8.9,销售,否,2022-02-08,5.21
102900011031841,双孢菇(份),食用菌,16:51:41.534,1.0,8.9,销售,否,2022-02-08,5.21
102900011031841,双孢菇(份),食用菌,18:21:13.324,1.0,8.9,销售,否,2022-02-08,5.21
102900011031841,双孢菇(份),食用菌,18:40:31.856,1.0,8.9,销售,否,2022-02-08,5.21
102900011031841,双孢菇(份),食用菌,17:32:43.023,1.0,5.3,销售,是,2022-02-09,5.21
102900011031841,双孢菇(份),食用菌,17:58:46.962,1.0,5.3,销售,是,2022-02-09,5.21
102900011031841,双孢菇(份),食用菌,09:16:09.075,1.0,7.9,销售,否,2022-09-09,0.5
102900011031841,双孢菇(份),食用菌,17:53:47.026,1.0,7.9,销售,否,2022-11-19,0.1
