日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-08-02,102900005115908,菜心,花叶类,0.326,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.526,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.464,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.476,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.439,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.689,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.501,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.288,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.464,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.539,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.251,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.476,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.551,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.288,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.564,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.251,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.526,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.702,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.476,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.476,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.526,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.501,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.589,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.288,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.238,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.514,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.251,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.564,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.501,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.464,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.301,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.414,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.514,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.251,8.0,销售,否,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.702,6.0,销售,是,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.318,6.0,销售,是,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.468,6.0,销售,是,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.401,6.0,销售,是,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.702,6.0,销售,是,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.585,6.0,销售,是,4.43,13.7
2020-08-02,102900005115908,菜心,花叶类,0.418,6.0,销售,是,4.43,13.7
2020-08-03,102900005115908,菜心,花叶类,0.551,8.0,销售,否,4.4,13.7
2020-08-03,102900005115908,菜心,花叶类,0.363,8.0,销售,否,4.4,13.7
2020-08-03,102900005115908,菜心,花叶类,0.226,8.0,销售,否,4.4,13.7
2020-08-03,102900005115908,菜心,花叶类,0.526,8.0,销售,否,4.4,13.7
2020-08-03,102900005115908,菜心,花叶类,0.263,8.0,销售,否,4.4,13.7
2020-08-03,102900005115908,菜心,花叶类,0.276,8.0,销售,否,4.4,13.7
2020-08-03,102900005115908,菜心,花叶类,0.301,8.0,销售,否,4.4,13.7
2020-08-03,102900005115908,菜心,花叶类,0.489,8.0,销售,否,4.4,13.7
2020-08-03,102900005115908,菜心,花叶类,0.815,8.0,销售,否,4.4,13.7
2020-08-03,102900005115908,菜心,花叶类,0.802,8.0,销售,否,4.4,13.7
2020-08-03,102900005115908,菜心,花叶类,0.226,8.0,销售,否,4.4,13.7
2020-08-03,102900005115908,菜心,花叶类,0.589,8.0,销售,否,4.4,13.7
2020-08-03,102900005115908,菜心,花叶类,0.489,8.0,销售,否,4.4,13.7
2020-08-03,102900005115908,菜心,花叶类,0.426,8.0,销售,否,4.4,13.7
2020-08-03,102900005115908,菜心,花叶类,0.464,8.0,销售,否,4.4,13.7
2020-08-03,102900005115908,菜心,花叶类,0.514,8.0,销售,否,4.4,13.7
2020-08-03,102900005115908,菜心,花叶类,0.263,8.0,销售,否,4.4,13.7
2020-08-03,102900005115908,菜心,花叶类,0.514,8.0,销售,否,4.4,13.7
2020-08-03,102900005115908,菜心,花叶类,0.414,8.0,销售,否,4.4,13.7
2020-08-04,102900005115908,菜心,花叶类,0.564,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.363,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.238,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.551,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.313,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.338,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.301,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.602,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.439,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.576,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.614,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.351,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.589,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.526,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.288,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.526,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.351,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.301,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.376,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.564,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.489,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.313,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.263,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.276,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.351,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.338,8.0,销售,否,4.55,13.7
2020-08-04,102900005115908,菜心,花叶类,0.313,8.0,销售,否,4.55,13.7
2020-08-05,102900005115908,菜心,花叶类,0.464,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.226,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.238,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.476,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,1.629,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.288,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.401,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.514,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.551,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.313,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.526,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.238,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.401,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.539,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.489,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.389,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.426,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.514,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.301,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.526,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.376,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.201,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.251,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.489,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.213,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.213,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.589,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.414,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.238,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.238,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.664,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.389,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.363,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.351,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.338,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.426,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.501,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.376,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.476,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.451,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.338,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.313,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.138,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.426,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.201,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.489,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.251,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.501,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.501,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.476,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.263,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.689,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.451,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.226,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.238,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.263,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.326,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.389,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.338,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.589,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.401,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.464,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.489,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.326,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.238,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.439,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.451,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.363,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.414,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.451,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.514,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.301,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.489,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.338,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.426,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.514,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.213,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.401,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.451,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.276,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.439,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.276,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.464,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.451,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.589,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.451,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.288,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.226,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.276,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.501,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.238,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.414,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.338,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.414,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.489,8.0,销售,否,4.56,13.7
2020-08-05,102900005115908,菜心,花叶类,0.526,8.0,销售,否,4.56,13.7
2020-08-06,102900005115908,菜心,花叶类,0.476,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.313,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.627,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.664,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,1.191,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.764,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.363,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.589,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.614,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.288,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.351,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.664,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.351,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.526,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.539,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.351,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.589,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.288,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.539,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.514,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.614,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.439,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.664,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.313,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.338,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.326,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.539,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.301,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.301,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.251,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.526,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.276,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.276,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.476,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.313,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.965,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.338,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.539,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.514,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.326,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.313,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.489,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.501,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.576,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.439,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.276,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.576,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.514,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.501,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.414,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.263,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.439,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.288,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.764,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.852,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.238,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.476,8.0,销售,否,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.418,6.0,销售,是,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.351,6.0,销售,是,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.268,6.0,销售,是,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.518,6.0,销售,是,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.485,6.0,销售,是,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.602,6.0,销售,是,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.301,6.0,销售,是,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.485,6.0,销售,是,4.53,13.7
2020-08-06,102900005115908,菜心,花叶类,0.351,6.0,销售,是,4.53,13.7
2020-08-07,102900005115908,菜心,花叶类,0.251,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.689,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.551,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.251,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.276,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.326,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.351,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.301,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.201,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.301,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.677,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.464,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.464,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.226,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.602,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.514,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.288,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.088,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.414,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.514,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.501,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.276,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.564,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.526,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.464,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.564,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.602,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.526,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.188,8.0,销售,否,4.59,13.7
2020-08-07,102900005115908,菜心,花叶类,0.514,8.0,销售,否,4.59,13.7
2020-08-08,102900005115908,菜心,花叶类,0.576,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.226,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.526,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.539,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.451,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.564,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.238,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.426,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.451,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.389,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.514,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.451,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.338,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.564,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.338,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.426,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.238,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.263,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.376,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.489,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.439,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.526,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.238,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.326,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.426,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.263,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.226,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.414,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.251,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.226,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.389,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.439,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.251,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.526,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.702,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.514,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.288,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.702,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.752,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.752,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.614,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.489,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.226,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.476,8.0,销售,否,4.54,13.7
2020-08-08,102900005115908,菜心,花叶类,0.213,8.0,销售,否,4.54,13.7
