单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900011032343,七彩椒(2),辣椒类,14:06:01.514,0.479,23.6,销售,否,2022-03-05,9.14
102900011032343,七彩椒(2),辣椒类,21:27:32.676,0.517,23.6,销售,否,2022-03-05,9.14
102900011032343,七彩椒(2),辣椒类,09:45:29.280,0.509,23.6,销售,否,2022-03-10,9.14
102900011032343,七彩椒(2),辣椒类,17:20:19.649,0.559,23.6,销售,否,2022-03-12,8.39
102900011032343,七彩椒(2),辣椒类,13:28:42.108,0.555,23.6,销售,否,2022-03-19,12.79
102900011032343,七彩椒(2),辣椒类,20:31:15.108,0.496,23.6,销售,否,2022-03-20,11.77
102900011032343,七彩椒(2),辣椒类,19:56:42.820,0.551,23.6,销售,否,2022-03-27,12.87
102900011032343,七彩椒(2),辣椒类,10:20:31.640,0.479,23.6,销售,否,2022-03-30,12.92
102900011032343,七彩椒(2),辣椒类,21:23:32.537,0.387,33.6,销售,否,2022-04-02,13.77
102900011032343,七彩椒(2),辣椒类,11:07:02.246,0.491,33.6,销售,否,2022-04-03,13.77
102900011032343,七彩椒(2),辣椒类,11:05:37.576,0.539,33.6,销售,否,2022-04-04,15.68
102900011032343,七彩椒(2),辣椒类,12:22:37.272,0.515,33.6,销售,否,2022-04-05,16.08
102900011032343,七彩椒(2),辣椒类,17:27:13.728,0.361,21.6,销售,否,2022-04-16,7.04
102900011032343,七彩椒(2),辣椒类,20:09:04.665,0.37,13.0,销售,是,2022-04-18,7.04
102900011032343,七彩椒(2),辣椒类,19:24:31.633,0.568,18.0,销售,否,2022-04-19,7.26
102900011032343,七彩椒(2),辣椒类,19:53:26.947,0.624,18.0,销售,否,2022-04-19,7.26
102900011032343,七彩椒(2),辣椒类,18:58:12.662,0.635,18.0,销售,否,2022-04-20,7.4
102900011032343,七彩椒(2),辣椒类,12:12:08.905,0.484,18.0,销售,否,2022-04-22,7.41
102900011032343,七彩椒(2),辣椒类,19:09:18.405,0.496,18.0,销售,否,2022-04-22,7.41
102900011032343,七彩椒(2),辣椒类,11:55:42.364,0.234,18.0,销售,否,2022-04-23,7.41
102900011032343,七彩椒(2),辣椒类,14:51:02.483,0.334,18.0,销售,否,2022-04-23,7.41
102900011032343,七彩椒(2),辣椒类,09:46:33.222,0.306,18.0,销售,否,2022-04-24,6.57
102900011032343,七彩椒(2),辣椒类,16:10:49.822,0.423,18.0,销售,否,2022-04-26,6.44
102900011032343,七彩椒(2),辣椒类,18:01:58.639,0.39,18.0,销售,否,2022-04-26,6.44
102900011032343,七彩椒(2),辣椒类,21:04:48.186,0.362,18.0,销售,否,2022-04-26,6.44
102900011032343,七彩椒(2),辣椒类,10:45:57.555,0.429,18.0,销售,否,2022-04-27,6.28
102900011032343,七彩椒(2),辣椒类,20:26:28.926,0.412,18.0,销售,否,2022-04-27,6.28
102900011032343,七彩椒(2),辣椒类,10:19:46.853,0.301,18.0,销售,否,2022-04-28,4.34
102900011032343,七彩椒(2),辣椒类,14:53:48.701,0.401,18.0,销售,否,2022-04-28,4.34
102900011032343,七彩椒(2),辣椒类,18:51:33.404,0.418,18.0,销售,否,2022-04-28,4.34
102900011032343,七彩椒(2),辣椒类,21:17:39.438,0.362,18.0,销售,否,2022-04-28,4.34
102900011032343,七彩椒(2),辣椒类,10:18:09.155,0.376,16.0,销售,否,2022-04-30,7.09
102900011032343,七彩椒(2),辣椒类,16:19:07.027,0.551,16.0,销售,否,2022-04-30,7.09
102900011032343,七彩椒(2),辣椒类,11:43:02.779,0.257,16.0,销售,否,2022-05-03,2.98
102900011032343,七彩椒(2),辣椒类,18:27:36.561,0.451,16.0,销售,否,2022-05-03,2.98
102900011032343,七彩椒(2),辣椒类,19:28:23.107,0.451,16.0,销售,否,2022-05-03,2.98
102900011032343,七彩椒(2),辣椒类,15:35:29.817,0.211,25.8,销售,否,2022-07-05,17.96
102900011032343,七彩椒(2),辣椒类,09:40:14.577,0.242,25.8,销售,否,2022-07-09,17.96
102900011032343,七彩椒(2),辣椒类,19:42:59.576,0.477,25.8,销售,否,2022-07-09,17.96
102900011032343,七彩椒(2),辣椒类,09:09:13.024,0.422,25.8,销售,否,2022-07-10,15.7
102900011032343,七彩椒(2),辣椒类,20:56:34.123,0.516,25.8,销售,否,2022-07-10,15.7
102900011032343,七彩椒(2),辣椒类,18:07:20.217,0.508,25.8,销售,否,2022-07-13,14.7
102900011032343,七彩椒(2),辣椒类,17:39:00.735,0.395,25.8,销售,否,2022-07-20,13.22
102900011032343,七彩椒(2),辣椒类,13:08:58.039,0.461,25.8,销售,否,2022-07-21,13.15
102900011032343,七彩椒(2),辣椒类,18:35:53.373,0.285,25.8,销售,否,2022-07-21,13.15
102900011032343,七彩椒(2),辣椒类,20:25:48.311,0.418,15.4,销售,是,2022-07-21,13.15
102900011032343,七彩椒(2),辣椒类,21:01:27.420,0.363,15.4,销售,是,2022-07-21,13.15
102900011032343,七彩椒(2),辣椒类,18:58:34.248,0.465,15.4,销售,是,2022-07-22,14.2
102900011032343,七彩椒(2),辣椒类,20:30:27.748,0.34,25.8,销售,否,2022-07-22,14.2
102900011032343,七彩椒(2),辣椒类,10:20:10.963,0.41,15.4,销售,是,2022-07-23,14.2
102900011032343,七彩椒(2),辣椒类,16:14:15.030,0.398,15.4,销售,是,2022-07-23,14.2
102900011032343,七彩椒(2),辣椒类,18:29:28.899,0.484,15.4,销售,是,2022-07-23,14.2
102900011032343,七彩椒(2),辣椒类,18:29:56.498,0.438,15.4,销售,是,2022-07-23,14.2
102900011032343,七彩椒(2),辣椒类,18:37:36.302,0.512,15.4,销售,是,2022-07-23,14.2
102900011032343,七彩椒(2),辣椒类,11:21:56.355,0.367,15.4,销售,是,2022-07-24,10.77
102900011032343,七彩椒(2),辣椒类,18:35:06.091,0.344,15.4,销售,是,2022-07-24,10.77
102900011032343,七彩椒(2),辣椒类,09:30:47.608,0.59,25.8,销售,否,2022-07-27,10.78
102900011032343,七彩椒(2),辣椒类,12:41:40.920,0.328,25.8,销售,否,2022-07-27,10.78
102900011032343,七彩椒(2),辣椒类,09:18:30.920,0.434,25.8,销售,否,2022-07-28,10.78
102900011032343,七彩椒(2),辣椒类,11:12:43.983,0.398,25.8,销售,否,2022-07-28,10.78
102900011032343,七彩椒(2),辣椒类,14:15:43.813,0.336,25.8,销售,否,2022-07-28,10.78
102900011032343,七彩椒(2),辣椒类,21:29:00.868,0.406,15.4,销售,是,2022-07-28,10.78
102900011032343,七彩椒(2),辣椒类,19:38:15.108,0.363,25.8,销售,否,2022-07-29,10.71
102900011032343,七彩椒(2),辣椒类,20:28:08.081,0.449,25.8,销售,否,2022-07-29,10.71
102900011032343,七彩椒(2),辣椒类,11:25:25.890,0.434,25.8,销售,否,2022-07-30,10.73
102900011032343,七彩椒(2),辣椒类,13:46:07.373,0.434,25.8,销售,否,2022-07-30,10.73
102900011032343,七彩椒(2),辣椒类,20:30:05.115,0.465,15.4,销售,是,2022-07-30,10.73
102900011032343,七彩椒(2),辣椒类,21:18:34.655,0.418,15.4,销售,是,2022-07-30,10.73
102900011032343,七彩椒(2),辣椒类,10:44:07.670,0.441,25.8,销售,否,2022-07-31,10.72
102900011032343,七彩椒(2),辣椒类,11:16:45.701,0.5,25.8,销售,否,2022-07-31,10.72
102900011032343,七彩椒(2),辣椒类,11:29:44.920,0.59,25.8,销售,否,2022-07-31,10.72
102900011032343,七彩椒(2),辣椒类,18:51:35.333,0.512,25.8,销售,否,2022-07-31,10.72
