单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900011015384,马兰头,花叶类,12:39:50.030,0.129,25.8,销售,否,2022-03-01,30.8
102900011015384,马兰头,花叶类,18:41:09.920,0.082,25.8,销售,否,2022-03-01,30.8
102900011015384,马兰头,花叶类,19:35:13.009,0.078,25.8,销售,否,2022-03-01,30.8
102900011015384,马兰头,花叶类,15:35:50.655,0.123,49.6,销售,否,2022-03-02,30.79
102900011015384,马兰头,花叶类,15:35:52.717,0.119,49.6,销售,否,2022-03-02,30.79
102900011015384,马兰头,花叶类,16:25:53.338,0.071,49.6,销售,否,2022-03-02,30.79
102900011015384,马兰头,花叶类,20:40:03.267,0.143,49.6,销售,否,2022-03-02,30.79
102900011015384,马兰头,花叶类,14:21:48.927,0.075,49.6,销售,否,2022-03-03,30.8
102900011015384,马兰头,花叶类,16:22:26.279,0.149,49.6,销售,否,2022-03-03,30.8
102900011015384,马兰头,花叶类,16:46:59.908,0.077,49.6,销售,否,2022-03-06,30.39
102900011015384,马兰头,花叶类,14:49:52.696,0.167,49.6,销售,否,2022-03-10,30.42
102900011015384,马兰头,花叶类,09:28:10.532,0.141,49.6,销售,否,2022-03-11,30.4
102900011015384,马兰头,花叶类,14:13:16.403,0.131,49.6,销售,否,2022-03-11,30.4
102900011015384,马兰头,花叶类,17:29:35.612,0.149,49.6,销售,否,2022-03-11,30.4
102900011015384,马兰头,花叶类,18:34:54.367,0.131,49.6,销售,否,2022-03-11,30.4
102900011015384,马兰头,花叶类,19:57:01.076,0.097,49.6,销售,否,2022-03-11,30.4
102900011015384,马兰头,花叶类,09:23:00.623,0.125,49.6,销售,否,2022-03-20,30.5
102900011015384,马兰头,花叶类,13:46:04.897,0.113,49.6,销售,否,2022-03-20,30.5
102900011015384,马兰头,花叶类,13:06:21.389,0.141,49.6,销售,否,2022-03-21,30.53
102900011015384,马兰头,花叶类,18:58:38.998,0.125,49.6,销售,否,2022-03-21,30.53
102900011015384,马兰头,花叶类,16:12:46.592,0.129,49.6,销售,否,2022-03-22,30.54
102900011015384,马兰头,花叶类,20:11:07.164,0.121,49.6,销售,否,2022-03-25,28.51
102900011015384,马兰头,花叶类,11:11:36.670,0.085,49.6,销售,否,2022-03-28,28.46
102900011015384,马兰头,花叶类,21:28:45.280,0.123,49.6,销售,否,2022-03-28,28.46
102900011015384,马兰头,花叶类,17:56:37.498,0.135,49.6,销售,否,2022-03-29,28.44
102900011015384,马兰头,花叶类,15:54:55.780,0.153,49.6,销售,否,2022-04-06,28.63
102900011015384,马兰头,花叶类,18:05:03.420,0.143,49.6,销售,否,2022-04-14,30.5
102900011015384,马兰头,花叶类,19:23:30.061,0.135,49.6,销售,否,2022-04-14,30.5
