单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900011023976,净藕(2),水生根茎类,09:53:45.706,1.661,6.0,销售,否,2023-02-05,4.26
102900011023976,净藕(2),水生根茎类,10:02:55.102,1.477,6.0,销售,否,2023-02-05,4.26
102900011023976,净藕(2),水生根茎类,10:11:30.889,1.242,6.0,销售,否,2023-02-05,4.26
102900011023976,净藕(2),水生根茎类,10:15:00.525,1.309,6.0,销售,否,2023-02-05,4.26
102900011023976,净藕(2),水生根茎类,10:15:00.725,1.376,6.0,销售,否,2023-02-05,4.26
102900011023976,净藕(2),水生根茎类,10:19:44.508,1.795,6.0,销售,否,2023-02-05,4.26
102900011023976,净藕(2),水生根茎类,10:32:19.45,1.46,6.0,销售,否,2023-02-05,4.26
102900011023976,净藕(2),水生根茎类,10:52:52.681,0.99,6.0,销售,否,2023-02-05,4.26
102900011023976,净藕(2),水生根茎类,11:11:41.032,1.141,6.0,销售,否,2023-02-05,4.26
102900011023976,净藕(2),水生根茎类,11:57:29.828,1.158,6.0,销售,否,2023-02-05,4.26
102900011023976,净藕(2),水生根茎类,13:05:23.11,1.158,6.0,销售,否,2023-02-05,4.26
102900011023976,净藕(2),水生根茎类,13:29:08.865,0.453,6.0,销售,否,2023-02-05,4.26
102900011023976,净藕(2),水生根茎类,13:47:39.431,0.805,6.0,销售,否,2023-02-05,4.26
102900011023976,净藕(2),水生根茎类,14:37:34.068,1.242,6.0,销售,否,2023-02-05,4.26
102900011023976,净藕(2),水生根茎类,16:33:25.878,1.057,6.0,销售,否,2023-02-05,4.26
102900011023976,净藕(2),水生根茎类,16:58:56.576,1.057,6.0,销售,否,2023-02-05,4.26
102900011023976,净藕(2),水生根茎类,17:20:04.92,0.822,6.0,销售,否,2023-02-05,4.26
102900011023976,净藕(2),水生根茎类,18:26:53.577,0.94,6.0,销售,否,2023-02-05,4.26
102900011023976,净藕(2),水生根茎类,19:12:21.326,0.654,6.0,销售,否,2023-02-05,4.26
102900011023976,净藕(2),水生根茎类,19:43:20.406,1.175,6.0,销售,否,2023-02-05,4.26
102900011023976,净藕(2),水生根茎类,19:58:48.222,1.158,6.0,销售,否,2023-02-05,4.26
102900011023976,净藕(2),水生根茎类,19:58:48.415,1.024,6.0,销售,否,2023-02-05,4.26
102900011023976,净藕(2),水生根茎类,09:52:17.514,0.503,6.0,销售,否,2023-02-06,4.2
102900011023976,净藕(2),水生根茎类,10:51:36.817,0.47,6.0,销售,否,2023-02-06,4.2
102900011023976,净藕(2),水生根茎类,11:18:22.661,1.024,6.0,销售,否,2023-02-06,4.2
