单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900011031735,七彩椒(份),辣椒类,16:19:09.068,1.0,4.9,销售,否,2022-01-19,2.8
102900011031735,七彩椒(份),辣椒类,20:06:01.811,1.0,4.9,销售,否,2022-01-19,2.8
102900011031735,七彩椒(份),辣椒类,16:28:14.633,1.0,4.9,销售,否,2022-01-21,3.58
102900011031735,七彩椒(份),辣椒类,19:51:33.248,1.0,4.9,销售,否,2022-01-21,3.58
102900011031735,七彩椒(份),辣椒类,14:42:03.080,1.0,4.9,销售,否,2022-01-22,3.56
102900011031735,七彩椒(份),辣椒类,18:20:45.145,1.0,4.9,销售,否,2022-01-23,3.58
102900011031735,七彩椒(份),辣椒类,14:00:23.248,1.0,4.9,销售,否,2022-01-24,2.7
102900011031735,七彩椒(份),辣椒类,18:36:39.295,1.0,4.9,销售,否,2022-01-24,2.7
102900011031735,七彩椒(份),辣椒类,19:28:55.358,1.0,4.9,销售,否,2022-01-25,2.7
102900011031735,七彩椒(份),辣椒类,20:25:59.565,1.0,2.9,销售,是,2022-01-25,2.7
102900011031735,七彩椒(份),辣椒类,16:24:13.092,1.0,4.9,销售,否,2022-01-29,4.24
102900011031735,七彩椒(份),辣椒类,17:23:28.295,1.0,4.9,销售,否,2022-01-29,4.24
102900011031735,七彩椒(份),辣椒类,17:51:04.217,1.0,4.9,销售,否,2022-01-29,4.24
102900011031735,七彩椒(份),辣椒类,19:44:23.985,1.0,4.9,销售,否,2022-01-29,4.24
102900011031735,七彩椒(份),辣椒类,09:41:02.623,1.0,4.9,销售,否,2022-01-30,2.7
102900011031735,七彩椒(份),辣椒类,14:47:10.187,1.0,6.5,销售,否,2022-02-11,3.8
102900011031735,七彩椒(份),辣椒类,16:27:53.187,1.0,6.5,销售,否,2022-02-11,3.8
102900011031735,七彩椒(份),辣椒类,10:51:26.963,1.0,6.5,销售,否,2022-02-12,3.79
