单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900011033968,西峡花菇(2),食用菌,09:38:01.004,0.258,19.8,销售,否,2022-04-16,12.6
102900011033968,西峡花菇(2),食用菌,10:35:18.561,0.212,19.8,销售,否,2022-04-16,12.6
102900011033968,西峡花菇(2),食用菌,10:55:18.723,0.192,19.8,销售,否,2022-04-16,12.6
102900011033968,西峡花菇(2),食用菌,11:53:30.014,0.207,19.8,销售,否,2022-04-16,12.6
102900011033968,西峡花菇(2),食用菌,13:18:05.530,0.202,19.8,销售,否,2022-04-16,12.6
102900011033968,西峡花菇(2),食用菌,16:40:40.701,0.232,19.8,销售,否,2022-04-16,12.6
102900011033968,西峡花菇(2),食用菌,17:47:24.937,0.232,19.8,销售,否,2022-04-16,12.6
102900011033968,西峡花菇(2),食用菌,18:33:36.124,0.202,19.8,销售,否,2022-04-16,12.6
102900011033968,西峡花菇(2),食用菌,19:19:13.561,0.227,19.8,销售,否,2022-04-16,12.6
102900011033968,西峡花菇(2),食用菌,19:26:25.478,0.126,19.8,销售,否,2022-04-16,12.6
102900011033968,西峡花菇(2),食用菌,20:23:19.311,0.207,19.8,销售,否,2022-04-16,12.6
102900011033968,西峡花菇(2),食用菌,20:38:05.613,0.212,19.8,销售,否,2022-04-16,12.6
102900011033968,西峡花菇(2),食用菌,18:21:32.092,0.217,19.8,销售,否,2022-04-17,12.63
102900011033968,西峡花菇(2),食用菌,10:07:42.873,0.227,19.8,销售,否,2022-04-19,12.6
102900011033968,西峡花菇(2),食用菌,10:44:44.166,0.217,19.8,销售,否,2022-04-19,12.6
102900011033968,西峡花菇(2),食用菌,16:49:35.983,0.253,19.8,销售,否,2022-04-19,12.6
102900011033968,西峡花菇(2),食用菌,16:50:06.405,0.237,19.8,销售,否,2022-04-19,12.6
102900011033968,西峡花菇(2),食用菌,18:39:55.842,0.192,19.8,销售,否,2022-04-19,12.6
102900011033968,西峡花菇(2),食用菌,10:08:27.189,0.182,19.8,销售,否,2022-04-20,12.6
102900011033968,西峡花菇(2),食用菌,10:26:59.668,0.217,19.8,销售,否,2022-04-20,12.6
102900011033968,西峡花菇(2),食用菌,11:54:53.748,0.202,19.8,销售,否,2022-04-20,12.6
102900011033968,西峡花菇(2),食用菌,16:33:02.490,0.202,19.8,销售,否,2022-04-20,12.6
102900011033968,西峡花菇(2),食用菌,17:19:32.655,0.197,19.8,销售,否,2022-04-20,12.6
102900011033968,西峡花菇(2),食用菌,17:47:30.146,0.192,19.8,销售,否,2022-04-20,12.6
102900011033968,西峡花菇(2),食用菌,17:47:50.498,0.202,19.8,销售,否,2022-04-20,12.6
102900011033968,西峡花菇(2),食用菌,19:03:09.920,0.212,19.8,销售,否,2022-04-20,12.6
102900011033968,西峡花菇(2),食用菌,20:17:26.998,0.207,19.8,销售,否,2022-04-20,12.6
102900011033968,西峡花菇(2),食用菌,18:34:11.905,0.227,19.8,销售,否,2022-04-21,12.6
102900011033968,西峡花菇(2),食用菌,21:10:45.858,0.192,19.8,销售,否,2022-04-22,12.6
102900011033968,西峡花菇(2),食用菌,10:32:28.891,0.212,19.8,销售,否,2022-04-23,12.6
102900011033968,西峡花菇(2),食用菌,16:15:17.108,0.258,19.8,销售,否,2022-04-23,12.6
102900011033968,西峡花菇(2),食用菌,17:10:43.389,0.202,19.8,销售,否,2022-04-23,12.6
102900011033968,西峡花菇(2),食用菌,18:14:46.951,0.177,19.8,销售,否,2022-04-23,12.6
102900011033968,西峡花菇(2),食用菌,19:10:03.193,0.207,13.9,销售,是,2022-04-23,12.6
102900011033968,西峡花菇(2),食用菌,20:46:31.045,0.222,13.9,销售,是,2022-04-23,12.6
102900011033968,西峡花菇(2),食用菌,20:51:41.166,0.212,13.9,销售,是,2022-04-23,12.6
102900011033968,西峡花菇(2),食用菌,21:09:21.890,0.187,13.9,销售,是,2022-04-23,12.6
102900011033968,西峡花菇(2),食用菌,21:10:54.165,0.217,19.8,销售,否,2022-04-26,12.58
102900011033968,西峡花菇(2),食用菌,18:01:21.980,0.222,19.8,销售,否,2022-04-27,12.61
102900011033968,西峡花菇(2),食用菌,11:13:05.295,0.217,19.8,销售,否,2022-04-29,12.61
102900011033968,西峡花菇(2),食用菌,16:08:57.352,0.222,19.8,销售,否,2022-04-29,12.61
102900011033968,西峡花菇(2),食用菌,16:14:30.483,0.177,19.8,销售,否,2022-04-29,12.61
102900011033968,西峡花菇(2),食用菌,16:39:19.242,0.232,19.8,销售,否,2022-04-29,12.61
102900011033968,西峡花菇(2),食用菌,17:46:46.964,0.192,19.8,销售,否,2022-04-29,12.61
